cate,sj,menu,pric
한식_일반,영선꼼장어 바다장어,꼼장어구이(소2인),30000
기타양식,티모아,아메리카노,2500
한식_일반,함흥보쌈,보쌈정식,10000
한식_일반,원조콩나물비빔밥,콩나물비빔밥,7000
한식_일반,양지추어탕,추어탕,9000
한식_일반,명가,생삼겹살(100g),4000
한식_일반,뷔페청,성인,8000
한식_일반,별미집,추어탕,8000
한식_일반,이조숯불갈비,이조정식,6000
한식_일반,산바다,메기메운탕,7000
한식_일반,삼원두루치기,두루치기,7500
한식_육류,장원숯불갈비,돼지갈비(200g),10000
한식_일반,마을식당,순두부찌개,6500
한식_육류,참숯화로구이 고주몽,돼지갈비(250g),14000
기타양식,시민제과,롤케이크,12000
한식_면류,성일손칼국수,칼국수,5000
한식_육류,본가이대감숯불촌,돼지갈비(230g),10000
일식,미도리우동,유부초밥,4000
한식_일반,고등어구이정식,고등어구이,8000
한식_일반,남포수제비,충무김밥,5500
한식_일반,두부가,두부밥,7500
한식_일반,일미기사식당,시락국밥,4500
한식_면류,대성밀냉면전문,밀면(소),7000
한식_일반,뚱보집,콩나물밥,4000
한식_일반,큰집생선구이,생선구이정식,9000
한식_일반,남원원조추어탕,추어탕,8000
한식_일반,한양왕순대,순대국밥,9000
한식_면류,구포밀면,손칼국수,6000
한식_일반,전주식당,돌솥밥,8500
